id,display_name,caliber,family,is_basic,role,damage,penetration,accuracy,knockback,slow,effect_type,effect_value,trigger,scope,condition,description
cal_9mm,경량탄,pistol,basic,true,attack,3,1,8,0,0,0,0,none,none,none,9mm 표준 규격의 경량탄. 한 적을 세 번 유효 적중하면 집중 폭발로 피해 1을 추가합니다.
cal_45acp,경량탄,smg,basic,true,attack,3,1,7,0,0,0,0,none,none,none,.45ACP 강화 규격의 경량탄. 한 적을 세 번 유효 적중하면 집중 폭발로 피해 2를 추가합니다.
cal_556,소총탄,rifle,basic,true,attack,3,2,6,0,0,0,0,none,none,none,5.56mm 표준 규격의 소총탄. 유효 적중 시 바로 뒤의 적 한 명에게 고정 스침 피해 1을 줍니다.
cal_762,소총탄,dmr,basic,true,attack,4,3,5,0,0,0,0,none,none,none,7.62mm 강화 규격의 소총탄. 유효 적중 시 후열 세 명에게 각각 고정 스침 피해 1을 줍니다.
cal_12g,산탄,shotgun,basic,true,attack,5,0,5,1,0,0,0,none,none,none,12게이지 표준 규격의 산탄. 3m 이내에서는 적 한 명에게 50% 확산하고 4m 이상에서는 확산 없이 주 피해가 2 감소합니다.
marker,표식탄,universal,support,false,link,2,1,8,0,0,7,3,on_effective_hit,next_shot,none,유효 적중 시 탄도 표식을 남겨 다음 1발의 명중을 3 높입니다.
borer,천공탄,universal,support,false,link,2,3,6,0,0,8,3,on_effective_hit,next_shot,none,유효 적중 시 장갑을 천공해 다음 1발의 관통을 3 높입니다.
jammer,교란탄,universal,support,false,link,2,1,9,0,0,9,2,on_hit,target,none,명중한 적의 회피를 영구히 2 낮춥니다.
shred,파쇄탄,universal,support,false,link,2,3,5,0,0,1,2,on_hit,target,none,명중한 적의 방어를 영구히 2 낮춥니다.
guide,유도탄,universal,support,false,link,2,1,7,0,0,10,1,on_effective_hit,remaining_mag,none,유효 적중 시 탄창에 남은 모든 발의 명중을 1 높입니다.
align,정렬탄,universal,support,false,link,2,2,6,0,0,11,1,on_effective_hit,remaining_mag,none,유효 적중 시 탄창에 남은 모든 발의 관통을 1 높입니다.
ap,철갑탄,universal,special,false,attack,2,4,6,0,0,0,0,none,none,none,경화 탄자로 어떤 장갑이든 단독으로 관통합니다.
pierce,관통탄,universal,special,false,attack,3,3,7,0,0,6,1,on_effective_hit,formation,none,이 격발의 직선 관통 깊이를 1명 늘립니다. 소총탄이 아니어도 후열 한 명을 관통합니다.
chain,연쇄탄,universal,special,false,attack,2,1,6,0,0,2,3,on_effective_hit,self,previous_effective,직전 탄이 유효 적중했다면 연쇄 반응으로 피해 3을 더합니다.
finale,마무리탄,universal,special,false,attack,3,1,6,0,0,3,4,on_effective_hit,self,last_shot,탄창의 마지막 발일 때 피해 4를 더합니다.
opener,선제탄,universal,special,false,attack,3,1,6,1,0,4,2,on_hit,target,first_shot,탄창의 첫 발일 때 넉백 2를 더하고 적의 방어를 1 낮춥니다.
crosscal,교대탄,universal,special,false,attack,2,1,5,0,0,5,4,on_effective_hit,self,role_change,직전 탄환과 역할이 다르면 피해 4를 더합니다.
impact,충격탄,universal,control,false,control,2,1,7,2,0,0,0,on_hit,target,none,충격 장약으로 적을 2칸 밀어 통로 거리를 확보합니다.
adhesive,점착탄,universal,control,false,control,2,1,8,0,2,0,0,on_hit,target,none,점착 성분으로 피격된 적의 다음 이동 속도를 2 낮춥니다.
